role,rank,pid,phase,execution_op,batch_id,id,operator,items,input_shapes,input_dtypes,inputs,cpu_range_ns,gpu_kernel_ns,gpu_kernel_count
cloud,0,12004,prefill,forward,88ee555908b14b0492da1f82bdb374ec,optrace:12004:1,aten.lift_fresh.default,"[{""request_id"": ""320e240bbb254f3a901cb562e8db2df7"", ""position"": 0, ""query_len"": 1024}]",[[1024]],"[""torch.int64""]","[{""argument"": ""args[0]"", ""shape"": [1024], ""dtype"": ""torch.int64"", ""device"": ""cuda:0"", ""stride"": [1]}]",24073,0,0
cloud,0,12004,prefill,forward,88ee555908b14b0492da1f82bdb374ec,optrace:12004:2,aten.detach_.default,"[{""request_id"": ""320e240bbb254f3a901cb562e8db2df7"", ""position"": 0, ""query_len"": 1024}]",[[1024]],"[""torch.int64""]","[{""argument"": ""args[0]"", ""shape"": [1024], ""dtype"": ""torch.int64"", ""device"": ""cuda:0"", ""stride"": [1]}]",8881,0,0
cloud,0,12004,prefill,forward,88ee555908b14b0492da1f82bdb374ec,optrace:12004:3,aten.lift_fresh.default,"[{""request_id"": ""320e240bbb254f3a901cb562e8db2df7"", ""position"": 0, ""query_len"": 1024}]",[[1]],"[""torch.int32""]","[{""argument"": ""args[0]"", ""shape"": [1], ""dtype"": ""torch.int32"", ""device"": ""cuda:0"", ""stride"": [1]}]",5073,0,0
cloud,0,12004,prefill,forward,88ee555908b14b0492da1f82bdb374ec,optrace:12004:4,aten.detach_.default,"[{""request_id"": ""320e240bbb254f3a901cb562e8db2df7"", ""position"": 0, ""query_len"": 1024}]",[[1]],"[""torch.int32""]","[{""argument"": ""args[0]"", ""shape"": [1], ""dtype"": ""torch.int32"", ""device"": ""cuda:0"", ""stride"": [1]}]",3369,0,0
cloud,0,12004,prefill,forward,88ee555908b14b0492da1f82bdb374ec,optrace:12004:5,aten.lift_fresh.default,"[{""request_id"": ""320e240bbb254f3a901cb562e8db2df7"", ""position"": 0, ""query_len"": 1024}]",[[1]],"[""torch.int32""]","[{""argument"": ""args[0]"", ""shape"": [1], ""dtype"": ""torch.int32"", ""device"": ""cuda:0"", ""stride"": [1]}]",4404,0,0
cloud,0,12004,prefill,forward,88ee555908b14b0492da1f82bdb374ec,optrace:12004:6,aten.detach_.default,"[{""request_id"": ""320e240bbb254f3a901cb562e8db2df7"", ""position"": 0, ""query_len"": 1024}]",[[1]],"[""torch.int32""]","[{""argument"": ""args[0]"", ""shape"": [1], ""dtype"": ""torch.int32"", ""device"": ""cuda:0"", ""stride"": [1]}]",12310,0,0
cloud,0,12004,prefill,forward,88ee555908b14b0492da1f82bdb374ec,optrace:12004:7,aten.lift_fresh.default,"[{""request_id"": ""320e240bbb254f3a901cb562e8db2df7"", ""position"": 0, ""query_len"": 1024}]","[[1, 64]]","[""torch.int32""]","[{""argument"": ""args[0]"", ""shape"": [1, 64], ""dtype"": ""torch.int32"", ""device"": ""cuda:0"", ""stride"": [64, 1]}]",4965,0,0
cloud,0,12004,prefill,forward,88ee555908b14b0492da1f82bdb374ec,optrace:12004:8,aten.detach_.default,"[{""request_id"": ""320e240bbb254f3a901cb562e8db2df7"", ""position"": 0, ""query_len"": 1024}]","[[1, 64]]","[""torch.int32""]","[{""argument"": ""args[0]"", ""shape"": [1, 64], ""dtype"": ""torch.int32"", ""device"": ""cuda:0"", ""stride"": [64, 1]}]",3339,0,0
cloud,0,12004,prefill,forward,88ee555908b14b0492da1f82bdb374ec,optrace:12004:9,aten.lift_fresh.default,"[{""request_id"": ""320e240bbb254f3a901cb562e8db2df7"", ""position"": 0, ""query_len"": 1024}]",[[2]],"[""torch.int32""]","[{""argument"": ""args[0]"", ""shape"": [2], ""dtype"": ""torch.int32"", ""device"": ""cuda:0"", ""stride"": [1]}]",5158,0,0
cloud,0,12004,prefill,forward,88ee555908b14b0492da1f82bdb374ec,optrace:12004:10,aten.detach_.default,"[{""request_id"": ""320e240bbb254f3a901cb562e8db2df7"", ""position"": 0, ""query_len"": 1024}]",[[2]],"[""torch.int32""]","[{""argument"": ""args[0]"", ""shape"": [2], ""dtype"": ""torch.int32"", ""device"": ""cuda:0"", ""stride"": [1]}]",5375,0,0
