role,rank,pid,phase,execution_op,batch_id,id,operator,items,input_shapes,input_dtypes,inputs,cpu_range_ns,gpu_kernel_ns,gpu_kernel_count
cloud,0,12004,decode,forward,1b568f0abcd7458bbc1ba199895d72de,optrace:12004:2605,aten.lift_fresh.default,"[{""request_id"": ""320e240bbb254f3a901cb562e8db2df7"", ""position"": 4096, ""query_len"": 1}]",[[1]],"[""torch.int64""]","[{""argument"": ""args[0]"", ""shape"": [1], ""dtype"": ""torch.int64"", ""device"": ""cuda:0"", ""stride"": [1]}]",12974,0,0
cloud,0,12004,decode,forward,1b568f0abcd7458bbc1ba199895d72de,optrace:12004:2606,aten.detach_.default,"[{""request_id"": ""320e240bbb254f3a901cb562e8db2df7"", ""position"": 4096, ""query_len"": 1}]",[[1]],"[""torch.int64""]","[{""argument"": ""args[0]"", ""shape"": [1], ""dtype"": ""torch.int64"", ""device"": ""cuda:0"", ""stride"": [1]}]",4647,0,0
cloud,0,12004,decode,forward,1b568f0abcd7458bbc1ba199895d72de,optrace:12004:2607,aten.lift_fresh.default,"[{""request_id"": ""320e240bbb254f3a901cb562e8db2df7"", ""position"": 4096, ""query_len"": 1}]",[[1]],"[""torch.int32""]","[{""argument"": ""args[0]"", ""shape"": [1], ""dtype"": ""torch.int32"", ""device"": ""cuda:0"", ""stride"": [1]}]",4442,0,0
cloud,0,12004,decode,forward,1b568f0abcd7458bbc1ba199895d72de,optrace:12004:2608,aten.detach_.default,"[{""request_id"": ""320e240bbb254f3a901cb562e8db2df7"", ""position"": 4096, ""query_len"": 1}]",[[1]],"[""torch.int32""]","[{""argument"": ""args[0]"", ""shape"": [1], ""dtype"": ""torch.int32"", ""device"": ""cuda:0"", ""stride"": [1]}]",3797,0,0
cloud,0,12004,decode,forward,1b568f0abcd7458bbc1ba199895d72de,optrace:12004:2609,aten.lift_fresh.default,"[{""request_id"": ""320e240bbb254f3a901cb562e8db2df7"", ""position"": 4096, ""query_len"": 1}]",[[1]],"[""torch.int32""]","[{""argument"": ""args[0]"", ""shape"": [1], ""dtype"": ""torch.int32"", ""device"": ""cuda:0"", ""stride"": [1]}]",4501,0,0
cloud,0,12004,decode,forward,1b568f0abcd7458bbc1ba199895d72de,optrace:12004:2610,aten.detach_.default,"[{""request_id"": ""320e240bbb254f3a901cb562e8db2df7"", ""position"": 4096, ""query_len"": 1}]",[[1]],"[""torch.int32""]","[{""argument"": ""args[0]"", ""shape"": [1], ""dtype"": ""torch.int32"", ""device"": ""cuda:0"", ""stride"": [1]}]",3621,0,0
cloud,0,12004,decode,forward,1b568f0abcd7458bbc1ba199895d72de,optrace:12004:2611,aten.lift_fresh.default,"[{""request_id"": ""320e240bbb254f3a901cb562e8db2df7"", ""position"": 4096, ""query_len"": 1}]","[[1, 257]]","[""torch.int32""]","[{""argument"": ""args[0]"", ""shape"": [1, 257], ""dtype"": ""torch.int32"", ""device"": ""cuda:0"", ""stride"": [257, 1]}]",9034,0,0
cloud,0,12004,decode,forward,1b568f0abcd7458bbc1ba199895d72de,optrace:12004:2612,aten.detach_.default,"[{""request_id"": ""320e240bbb254f3a901cb562e8db2df7"", ""position"": 4096, ""query_len"": 1}]","[[1, 257]]","[""torch.int32""]","[{""argument"": ""args[0]"", ""shape"": [1, 257], ""dtype"": ""torch.int32"", ""device"": ""cuda:0"", ""stride"": [257, 1]}]",3205,0,0
cloud,0,12004,decode,forward,1b568f0abcd7458bbc1ba199895d72de,optrace:12004:2613,aten.lift_fresh.default,"[{""request_id"": ""320e240bbb254f3a901cb562e8db2df7"", ""position"": 4096, ""query_len"": 1}]",[[2]],"[""torch.int32""]","[{""argument"": ""args[0]"", ""shape"": [2], ""dtype"": ""torch.int32"", ""device"": ""cuda:0"", ""stride"": [1]}]",5258,0,0
cloud,0,12004,decode,forward,1b568f0abcd7458bbc1ba199895d72de,optrace:12004:2614,aten.detach_.default,"[{""request_id"": ""320e240bbb254f3a901cb562e8db2df7"", ""position"": 4096, ""query_len"": 1}]",[[2]],"[""torch.int32""]","[{""argument"": ""args[0]"", ""shape"": [2], ""dtype"": ""torch.int32"", ""device"": ""cuda:0"", ""stride"": [1]}]",3853,0,0
cloud,0,12004,decode,forward,1b568f0abcd7458bbc1ba199895d72de,optrace:12004:2615,aten.lift_fresh.default,"[{""request_id"": ""320e240bbb254f3a901cb562e8db2df7"", ""position"": 4096, ""query_len"": 1}]",[[2]],"[""torch.int32""]","[{""argument"": ""args[0]"", ""shape"": [2], ""dtype"": ""torch.int32"", ""device"": ""cuda:0"", ""stride"": [1]}]",4831,0,0
cloud,0,12004,decode,forward,1b568f0abcd7458bbc1ba199895d72de,optrace:12004:2616,aten.detach_.default,"[{""request_id"": ""320e240bbb254f3a901cb562e8db2df7"", ""position"": 4096, ""query_len"": 1}]",[[2]],"[""torch.int32""]","[{""argument"": ""args[0]"", ""shape"": [2], ""dtype"": ""torch.int32"", ""device"": ""cuda:0"", ""stride"": [1]}]",3287,0,0
cloud,0,12004,decode,forward,1b568f0abcd7458bbc1ba199895d72de,optrace:12004:2617,aten.lift_fresh.default,"[{""request_id"": ""320e240bbb254f3a901cb562e8db2df7"", ""position"": 4096, ""query_len"": 1}]",[[1]],"[""torch.int64""]","[{""argument"": ""args[0]"", ""shape"": [1], ""dtype"": ""torch.int64"", ""device"": ""cuda:0"", ""stride"": [1]}]",4328,0,0
cloud,0,12004,decode,forward,1b568f0abcd7458bbc1ba199895d72de,optrace:12004:2618,aten.detach_.default,"[{""request_id"": ""320e240bbb254f3a901cb562e8db2df7"", ""position"": 4096, ""query_len"": 1}]",[[1]],"[""torch.int64""]","[{""argument"": ""args[0]"", ""shape"": [1], ""dtype"": ""torch.int64"", ""device"": ""cuda:0"", ""stride"": [1]}]",3092,0,0
cloud,0,12004,decode,forward,1b568f0abcd7458bbc1ba199895d72de,optrace:12004:2619,aten.lift_fresh.default,"[{""request_id"": ""320e240bbb254f3a901cb562e8db2df7"", ""position"": 4096, ""query_len"": 1}]","[[1, 2048]]","[""torch.float16""]","[{""argument"": ""args[0]"", ""shape"": [1, 2048], ""dtype"": ""torch.float16"", ""device"": ""cpu"", ""stride"": [2048, 1]}]",5282,0,0
cloud,0,12004,decode,forward,1b568f0abcd7458bbc1ba199895d72de,optrace:12004:2620,aten.to.dtype_layout,"[{""request_id"": ""320e240bbb254f3a901cb562e8db2df7"", ""position"": 4096, ""query_len"": 1}]","[[1, 2048]]","[""torch.float16""]","[{""argument"": ""args[0]"", ""shape"": [1, 2048], ""dtype"": ""torch.float16"", ""device"": ""cpu"", ""stride"": [2048, 1]}]",50050,0,0
cloud,0,12004,decode,forward,1b568f0abcd7458bbc1ba199895d72de,optrace:12004:2621,c10d.broadcast_.default,"[{""request_id"": ""320e240bbb254f3a901cb562e8db2df7"", ""position"": 4096, ""query_len"": 1}]","[[1, 2048]]","[""torch.float16""]","[{""argument"": ""args[0][0]"", ""shape"": [1, 2048], ""dtype"": ""torch.float16"", ""device"": ""cuda:0"", ""stride"": [2048, 1]}]",185668,7040,1
cloud,0,12004,decode,forward,1b568f0abcd7458bbc1ba199895d72de,optrace:12004:2622,aten.lift_fresh.default,"[{""request_id"": ""320e240bbb254f3a901cb562e8db2df7"", ""position"": 4096, ""query_len"": 1}]","[[1, 2048]]","[""torch.float16""]","[{""argument"": ""args[0]"", ""shape"": [1, 2048], ""dtype"": ""torch.float16"", ""device"": ""cpu"", ""stride"": [2048, 1]}]",5975,0,0
cloud,0,12004,decode,forward,1b568f0abcd7458bbc1ba199895d72de,optrace:12004:2623,aten.to.dtype_layout,"[{""request_id"": ""320e240bbb254f3a901cb562e8db2df7"", ""position"": 4096, ""query_len"": 1}]","[[1, 2048]]","[""torch.float16""]","[{""argument"": ""args[0]"", ""shape"": [1, 2048], ""dtype"": ""torch.float16"", ""device"": ""cpu"", ""stride"": [2048, 1]}]",51513,0,0
cloud,0,12004,decode,forward,1b568f0abcd7458bbc1ba199895d72de,optrace:12004:2624,c10d.broadcast_.default,"[{""request_id"": ""320e240bbb254f3a901cb562e8db2df7"", ""position"": 4096, ""query_len"": 1}]","[[1, 2048]]","[""torch.float16""]","[{""argument"": ""args[0][0]"", ""shape"": [1, 2048], ""dtype"": ""torch.float16"", ""device"": ""cuda:0"", ""stride"": [2048, 1]}]",141135,5952,1
cloud,0,12004,decode,forward,1b568f0abcd7458bbc1ba199895d72de,optrace:12004:2625,aten.detach.default,"[{""request_id"": ""320e240bbb254f3a901cb562e8db2df7"", ""position"": 4096, ""query_len"": 1}]",[[2048]],"[""torch.float16""]","[{""argument"": ""args[0]"", ""shape"": [2048], ""dtype"": ""torch.float16"", ""device"": ""cuda:0"", ""stride"": [1]}]",12120,0,0
cloud,0,12004,decode,forward,1b568f0abcd7458bbc1ba199895d72de,optrace:12004:2626,_C.fused_add_rms_norm.default,"[{""request_id"": ""320e240bbb254f3a901cb562e8db2df7"", ""position"": 4096, ""query_len"": 1}]","[[1, 2048], [1, 2048], [2048]]","[""torch.float16"", ""torch.float16"", ""torch.float16""]","[{""argument"": ""args[0]"", ""shape"": [1, 2048], ""dtype"": ""torch.float16"", ""device"": ""cuda:0"", ""stride"": [2048, 1]}, {""argument"": ""args[1]"", ""shape"": [1, 2048], ""dtype"": ""torch.float16"", ""device"": ""cuda:0"", ""stride"": [2048, 1]}, {""argument"": ""args[2]"", ""shape"": [2048], ""dtype"": ""torch.float16"", ""device"": ""cuda:0"", ""stride"": [1]}]",26947,2752,1
cloud,0,12004,decode,forward,1b568f0abcd7458bbc1ba199895d72de,optrace:12004:2627,aten.linear.default,"[{""request_id"": ""320e240bbb254f3a901cb562e8db2df7"", ""position"": 4096, ""query_len"": 1}]","[[1, 2048], [1280, 2048], [1280]]","[""torch.float16"", ""torch.float16"", ""torch.float16""]","[{""argument"": ""args[0]"", ""shape"": [1, 2048], ""dtype"": ""torch.float16"", ""device"": ""cuda:0"", ""stride"": [2048, 1]}, {""argument"": ""args[1]"", ""shape"": [1280, 2048], ""dtype"": ""torch.float16"", ""device"": ""cuda:0"", ""stride"": [2048, 1]}, {""argument"": ""args[2]"", ""shape"": [1280], ""dtype"": ""torch.float16"", ""device"": ""cuda:0"", ""stride"": [1]}]",82377,14528,1
cloud,0,12004,decode,forward,1b568f0abcd7458bbc1ba199895d72de,optrace:12004:2628,aten.split_with_sizes.default,"[{""request_id"": ""320e240bbb254f3a901cb562e8db2df7"", ""position"": 4096, ""query_len"": 1}]","[[1, 1280]]","[""torch.float16""]","[{""argument"": ""args[0]"", ""shape"": [1, 1280], ""dtype"": ""torch.float16"", ""device"": ""cuda:0"", ""stride"": [1280, 1]}]",26308,0,0
cloud,0,12004,decode,forward,1b568f0abcd7458bbc1ba199895d72de,optrace:12004:2629,_C.rotary_embedding.default,"[{""request_id"": ""320e240bbb254f3a901cb562e8db2df7"", ""position"": 4096, ""query_len"": 1}]","[[1], [1, 1024], [1, 128], [32768, 128]]","[""torch.int64"", ""torch.float16"", ""torch.float16"", ""torch.float16""]","[{""argument"": ""args[0]"", ""shape"": [1], ""dtype"": ""torch.int64"", ""device"": ""cuda:0"", ""stride"": [1]}, {""argument"": ""args[1]"", ""shape"": [1, 1024], ""dtype"": ""torch.float16"", ""device"": ""cuda:0"", ""stride"": [1280, 1]}, {""argument"": ""args[2]"", ""shape"": [1, 128], ""dtype"": ""torch.float16"", ""device"": ""cuda:0"", ""stride"": [1280, 1]}, {""argument"": ""args[4]"", ""shape"": [32768, 128], ""dtype"": ""torch.float16"", ""device"": ""cuda:0"", ""stride"": [128, 1]}]",31162,2496,1
cloud,0,12004,decode,forward,1b568f0abcd7458bbc1ba199895d72de,optrace:12004:2630,aten.zeros.default,"[{""request_id"": ""320e240bbb254f3a901cb562e8db2df7"", ""position"": 4096, ""query_len"": 1}]",[],[],[],46411,1216,1
cloud,0,12004,decode,forward,1b568f0abcd7458bbc1ba199895d72de,optrace:12004:2631,aten.view.default,"[{""request_id"": ""320e240bbb254f3a901cb562e8db2df7"", ""position"": 4096, ""query_len"": 1}]","[[1, 1024]]","[""torch.float16""]","[{""argument"": ""args[0]"", ""shape"": [1, 1024], ""dtype"": ""torch.float16"", ""device"": ""cuda:0"", ""stride"": [1280, 1]}]",10158,0,0
cloud,0,12004,decode,forward,1b568f0abcd7458bbc1ba199895d72de,optrace:12004:2632,aten.view.default,"[{""request_id"": ""320e240bbb254f3a901cb562e8db2df7"", ""position"": 4096, ""query_len"": 1}]","[[1, 1024]]","[""torch.float16""]","[{""argument"": ""args[0]"", ""shape"": [1, 1024], ""dtype"": ""torch.float16"", ""device"": ""cuda:0"", ""stride"": [1024, 1]}]",5321,0,0
cloud,0,12004,decode,forward,1b568f0abcd7458bbc1ba199895d72de,optrace:12004:2633,aten.view.default,"[{""request_id"": ""320e240bbb254f3a901cb562e8db2df7"", ""position"": 4096, ""query_len"": 1}]","[[1, 128]]","[""torch.float16""]","[{""argument"": ""args[0]"", ""shape"": [1, 128], ""dtype"": ""torch.float16"", ""device"": ""cuda:0"", ""stride"": [1280, 1]}]",4978,0,0
cloud,0,12004,decode,forward,1b568f0abcd7458bbc1ba199895d72de,optrace:12004:2634,aten.view.default,"[{""request_id"": ""320e240bbb254f3a901cb562e8db2df7"", ""position"": 4096, ""query_len"": 1}]","[[1, 128]]","[""torch.float16""]","[{""argument"": ""args[0]"", ""shape"": [1, 128], ""dtype"": ""torch.float16"", ""device"": ""cuda:0"", ""stride"": [1280, 1]}]",4850,0,0
