role,rank,pid,phase,batch_id,id,operator,items,input_shapes,input_dtypes,inputs,cpu_range_ns,gpu_kernel_ns,gpu_kernel_count
cloud,0,9274,prefill,2b19945777114854b82d6cd44b40f27b,optrace:9274:1,aten.lift_fresh.default,"[{""request_id"": ""c4f28400bfd54f3bbb86f843f6fb61f5"", ""position"": 0, ""query_len"": 4096}]",[[4096]],"[""torch.int64""]","[{""argument"": ""args[0]"", ""shape"": [4096], ""dtype"": ""torch.int64"", ""device"": ""cuda:0"", ""stride"": [1]}]",15303,0,0
cloud,0,9274,prefill,2b19945777114854b82d6cd44b40f27b,optrace:9274:2,aten.detach_.default,"[{""request_id"": ""c4f28400bfd54f3bbb86f843f6fb61f5"", ""position"": 0, ""query_len"": 4096}]",[[4096]],"[""torch.int64""]","[{""argument"": ""args[0]"", ""shape"": [4096], ""dtype"": ""torch.int64"", ""device"": ""cuda:0"", ""stride"": [1]}]",13989,0,0
cloud,0,9274,prefill,2b19945777114854b82d6cd44b40f27b,optrace:9274:3,aten.lift_fresh.default,"[{""request_id"": ""c4f28400bfd54f3bbb86f843f6fb61f5"", ""position"": 0, ""query_len"": 4096}]",[[1]],"[""torch.int32""]","[{""argument"": ""args[0]"", ""shape"": [1], ""dtype"": ""torch.int32"", ""device"": ""cuda:0"", ""stride"": [1]}]",5381,0,0
cloud,0,9274,prefill,2b19945777114854b82d6cd44b40f27b,optrace:9274:4,aten.detach_.default,"[{""request_id"": ""c4f28400bfd54f3bbb86f843f6fb61f5"", ""position"": 0, ""query_len"": 4096}]",[[1]],"[""torch.int32""]","[{""argument"": ""args[0]"", ""shape"": [1], ""dtype"": ""torch.int32"", ""device"": ""cuda:0"", ""stride"": [1]}]",3430,0,0
cloud,0,9274,prefill,2b19945777114854b82d6cd44b40f27b,optrace:9274:5,aten.lift_fresh.default,"[{""request_id"": ""c4f28400bfd54f3bbb86f843f6fb61f5"", ""position"": 0, ""query_len"": 4096}]",[[1]],"[""torch.int32""]","[{""argument"": ""args[0]"", ""shape"": [1], ""dtype"": ""torch.int32"", ""device"": ""cuda:0"", ""stride"": [1]}]",9839,0,0
cloud,0,9274,prefill,2b19945777114854b82d6cd44b40f27b,optrace:9274:6,aten.detach_.default,"[{""request_id"": ""c4f28400bfd54f3bbb86f843f6fb61f5"", ""position"": 0, ""query_len"": 4096}]",[[1]],"[""torch.int32""]","[{""argument"": ""args[0]"", ""shape"": [1], ""dtype"": ""torch.int32"", ""device"": ""cuda:0"", ""stride"": [1]}]",3763,0,0
cloud,0,9274,prefill,2b19945777114854b82d6cd44b40f27b,optrace:9274:7,aten.empty.memory_format,"[{""request_id"": ""c4f28400bfd54f3bbb86f843f6fb61f5"", ""position"": 0, ""query_len"": 4096}]",[],[],[],39498,0,0
cloud,0,9274,prefill,2b19945777114854b82d6cd44b40f27b,optrace:9274:8,aten.lift_fresh.default,"[{""request_id"": ""c4f28400bfd54f3bbb86f843f6fb61f5"", ""position"": 0, ""query_len"": 4096}]",[[2]],"[""torch.int32""]","[{""argument"": ""args[0]"", ""shape"": [2], ""dtype"": ""torch.int32"", ""device"": ""cuda:0"", ""stride"": [1]}]",7353,0,0
cloud,0,9274,prefill,2b19945777114854b82d6cd44b40f27b,optrace:9274:9,aten.detach_.default,"[{""request_id"": ""c4f28400bfd54f3bbb86f843f6fb61f5"", ""position"": 0, ""query_len"": 4096}]",[[2]],"[""torch.int32""]","[{""argument"": ""args[0]"", ""shape"": [2], ""dtype"": ""torch.int32"", ""device"": ""cuda:0"", ""stride"": [1]}]",3774,0,0
cloud,0,9274,prefill,2b19945777114854b82d6cd44b40f27b,optrace:9274:10,aten.lift_fresh.default,"[{""request_id"": ""c4f28400bfd54f3bbb86f843f6fb61f5"", ""position"": 0, ""query_len"": 4096}]",[[2]],"[""torch.int32""]","[{""argument"": ""args[0]"", ""shape"": [2], ""dtype"": ""torch.int32"", ""device"": ""cuda:0"", ""stride"": [1]}]",5170,0,0
