role,rank,pid,phase,batch_id,id,operator,items,input_shapes,input_dtypes,inputs,cpu_range_ns,gpu_kernel_ns,gpu_kernel_count
cloud,0,9274,decode,2e5e98ccd403468fa5a87974f87a11d4,optrace:9274:651,aten.lift_fresh.default,"[{""request_id"": ""c4f28400bfd54f3bbb86f843f6fb61f5"", ""position"": 4096, ""query_len"": 1}]",[[1]],"[""torch.int64""]","[{""argument"": ""args[0]"", ""shape"": [1], ""dtype"": ""torch.int64"", ""device"": ""cuda:0"", ""stride"": [1]}]",14102,0,0
cloud,0,9274,decode,2e5e98ccd403468fa5a87974f87a11d4,optrace:9274:652,aten.detach_.default,"[{""request_id"": ""c4f28400bfd54f3bbb86f843f6fb61f5"", ""position"": 4096, ""query_len"": 1}]",[[1]],"[""torch.int64""]","[{""argument"": ""args[0]"", ""shape"": [1], ""dtype"": ""torch.int64"", ""device"": ""cuda:0"", ""stride"": [1]}]",4748,0,0
cloud,0,9274,decode,2e5e98ccd403468fa5a87974f87a11d4,optrace:9274:653,aten.lift_fresh.default,"[{""request_id"": ""c4f28400bfd54f3bbb86f843f6fb61f5"", ""position"": 4096, ""query_len"": 1}]",[[1]],"[""torch.int32""]","[{""argument"": ""args[0]"", ""shape"": [1], ""dtype"": ""torch.int32"", ""device"": ""cuda:0"", ""stride"": [1]}]",4232,0,0
cloud,0,9274,decode,2e5e98ccd403468fa5a87974f87a11d4,optrace:9274:654,aten.detach_.default,"[{""request_id"": ""c4f28400bfd54f3bbb86f843f6fb61f5"", ""position"": 4096, ""query_len"": 1}]",[[1]],"[""torch.int32""]","[{""argument"": ""args[0]"", ""shape"": [1], ""dtype"": ""torch.int32"", ""device"": ""cuda:0"", ""stride"": [1]}]",3066,0,0
cloud,0,9274,decode,2e5e98ccd403468fa5a87974f87a11d4,optrace:9274:655,aten.lift_fresh.default,"[{""request_id"": ""c4f28400bfd54f3bbb86f843f6fb61f5"", ""position"": 4096, ""query_len"": 1}]",[[1]],"[""torch.int32""]","[{""argument"": ""args[0]"", ""shape"": [1], ""dtype"": ""torch.int32"", ""device"": ""cuda:0"", ""stride"": [1]}]",4029,0,0
cloud,0,9274,decode,2e5e98ccd403468fa5a87974f87a11d4,optrace:9274:656,aten.detach_.default,"[{""request_id"": ""c4f28400bfd54f3bbb86f843f6fb61f5"", ""position"": 4096, ""query_len"": 1}]",[[1]],"[""torch.int32""]","[{""argument"": ""args[0]"", ""shape"": [1], ""dtype"": ""torch.int32"", ""device"": ""cuda:0"", ""stride"": [1]}]",3580,0,0
cloud,0,9274,decode,2e5e98ccd403468fa5a87974f87a11d4,optrace:9274:657,aten.lift_fresh.default,"[{""request_id"": ""c4f28400bfd54f3bbb86f843f6fb61f5"", ""position"": 4096, ""query_len"": 1}]","[[1, 257]]","[""torch.int32""]","[{""argument"": ""args[0]"", ""shape"": [1, 257], ""dtype"": ""torch.int32"", ""device"": ""cuda:0"", ""stride"": [257, 1]}]",4389,0,0
cloud,0,9274,decode,2e5e98ccd403468fa5a87974f87a11d4,optrace:9274:658,aten.detach_.default,"[{""request_id"": ""c4f28400bfd54f3bbb86f843f6fb61f5"", ""position"": 4096, ""query_len"": 1}]","[[1, 257]]","[""torch.int32""]","[{""argument"": ""args[0]"", ""shape"": [1, 257], ""dtype"": ""torch.int32"", ""device"": ""cuda:0"", ""stride"": [257, 1]}]",3068,0,0
cloud,0,9274,decode,2e5e98ccd403468fa5a87974f87a11d4,optrace:9274:659,aten.lift_fresh.default,"[{""request_id"": ""c4f28400bfd54f3bbb86f843f6fb61f5"", ""position"": 4096, ""query_len"": 1}]",[[2]],"[""torch.int32""]","[{""argument"": ""args[0]"", ""shape"": [2], ""dtype"": ""torch.int32"", ""device"": ""cuda:0"", ""stride"": [1]}]",5369,0,0
cloud,0,9274,decode,2e5e98ccd403468fa5a87974f87a11d4,optrace:9274:660,aten.detach_.default,"[{""request_id"": ""c4f28400bfd54f3bbb86f843f6fb61f5"", ""position"": 4096, ""query_len"": 1}]",[[2]],"[""torch.int32""]","[{""argument"": ""args[0]"", ""shape"": [2], ""dtype"": ""torch.int32"", ""device"": ""cuda:0"", ""stride"": [1]}]",3054,0,0
cloud,0,9274,decode,2e5e98ccd403468fa5a87974f87a11d4,optrace:9274:661,aten.lift_fresh.default,"[{""request_id"": ""c4f28400bfd54f3bbb86f843f6fb61f5"", ""position"": 4096, ""query_len"": 1}]",[[2]],"[""torch.int32""]","[{""argument"": ""args[0]"", ""shape"": [2], ""dtype"": ""torch.int32"", ""device"": ""cuda:0"", ""stride"": [1]}]",4394,0,0
cloud,0,9274,decode,2e5e98ccd403468fa5a87974f87a11d4,optrace:9274:662,aten.detach_.default,"[{""request_id"": ""c4f28400bfd54f3bbb86f843f6fb61f5"", ""position"": 4096, ""query_len"": 1}]",[[2]],"[""torch.int32""]","[{""argument"": ""args[0]"", ""shape"": [2], ""dtype"": ""torch.int32"", ""device"": ""cuda:0"", ""stride"": [1]}]",2967,0,0
cloud,0,9274,decode,2e5e98ccd403468fa5a87974f87a11d4,optrace:9274:663,aten.lift_fresh.default,"[{""request_id"": ""c4f28400bfd54f3bbb86f843f6fb61f5"", ""position"": 4096, ""query_len"": 1}]",[[1]],"[""torch.int64""]","[{""argument"": ""args[0]"", ""shape"": [1], ""dtype"": ""torch.int64"", ""device"": ""cuda:0"", ""stride"": [1]}]",6343,0,0
cloud,0,9274,decode,2e5e98ccd403468fa5a87974f87a11d4,optrace:9274:664,aten.detach_.default,"[{""request_id"": ""c4f28400bfd54f3bbb86f843f6fb61f5"", ""position"": 4096, ""query_len"": 1}]",[[1]],"[""torch.int64""]","[{""argument"": ""args[0]"", ""shape"": [1], ""dtype"": ""torch.int64"", ""device"": ""cuda:0"", ""stride"": [1]}]",3429,0,0
cloud,0,9274,decode,2e5e98ccd403468fa5a87974f87a11d4,optrace:9274:665,aten.lift_fresh.default,"[{""request_id"": ""c4f28400bfd54f3bbb86f843f6fb61f5"", ""position"": 4096, ""query_len"": 1}]","[[1, 2048]]","[""torch.float16""]","[{""argument"": ""args[0]"", ""shape"": [1, 2048], ""dtype"": ""torch.float16"", ""device"": ""cpu"", ""stride"": [2048, 1]}]",4907,0,0
